aafkagh-,to burst
naamakaghte-,to get enough
naamake-,to fit into
naama-,to be sufficient; to be enough
naamigte-,to go as far as; to complete
naange-,to come to an end; to be all gone; to be consumed; to be finished; be used up
naangngwaaghagh-,to swing at play
naangqiqe-,to work on ivory
naanneghite-,to be nowhere else, but ... (in a certain place)
naanqaghqe-,to pay off a debt
naapniigh-,to go trapping
naapte-,to catch with trap or net
naaqaa-,to smell (have a smell); emit an aroma
naasaghagh-,to estimate; to predict; to measure
naasiigh-,to taste; to experience
naasqiqe-,to have a headache
naate-,to complete (bring up to full number); to be complete; to be sufficient
naatghigh-,for one's boot sole to wear out
naave-,to break
naavghute-,to exchange; to change or trade places
naavuma-,to be in a broken state
naavyigh-,to become very tired
naawaagh-,to search around for something that's not visible
naayvagh-,to freeze (of lakes)
naflughqugh-,to cut or disassemble at joint
nafqesghagh-,to falsely accuse through gossip
nafteghte-,to attach; to list; to insert; to glue
nafugh-,to hurt for someone; to die of sadness (missing someone); to die of a broken heart
nafuqe-,to feel broken-hearted over (him/it)
nagaqugh-,to hear; to understand
nagasugni-,to eavesdrop; to watch for
nagate-,to listen
naghaagh-,to play
naghigh-,to become slack (of rope or the like, or wind); to become loose; to die down (of wind)
naghpaghsigh-,to engage in shamanistic activity in order to improve the weather
naghpigh-,to lasso
naghrigte-,to swipe one's wetted finger under another's nose as a gesture of scorn
naghughaghte-,to pass by quickly
naghughte-,to pass by
naghulleg-,to harpoon
naghullgute-,to dive into water; to plunge ahead; jump in
nagnegh-,to go on without hesitating; to move on despite obstacles
nagneqagh-,to go too far and be unable to stop in time
nagneqe-,to do more or go further than planned
nagtuqaghte-,to button
nagu-,to grow (of plant life, whiskers, tumors, etc.)
nakaghyaaghte-,for the wind to change direction and come from the east
nakaghyigh-,for there to be an east wind
nakeghsagh-,to target shoot
nakegh-,to be an accurate shot; to shoot well
nakimtaa-,to be lost and run around in a panic
naki-,to have a bladder infection
nakligh-,to trip (him); to cause to trip with one's foot
nakmiigh-,to make a choice
nakmike-,to choose
nakmikuraagh-,to be picky; to be choosy
nakreg-,to hook as with a gaff
nakughmete-,to be cross-eyed
naliqegti-,to be undecided on which to take; to have a difficult time choosing
nallagh-,to run into; to meet; to encounter
nallangigh-,to pay off bills; to direct something (e.g. gun) at something or someone; to move facing (against) something; to pay back
nallavragh-,to lose something; to forget where things are
nalleghiite-,to occupy a large amount of time or space
nallekevyeghagh-,to act crazy
nallekevzeghagh-,to act crazy
nalleqiiyaghute-,to even up; to equalize
nallghusagh-,to fix; to correct; to set straight
nallimsagh-,to estimate; to determine
nalluke-,to not know
nallukngwaagh-,to lose awareness; to not completely know
nallunagh-,to be difficult to know or perceive
nallungughte-,to be incoherent; to be confused
nalluniigh-,to mark so as to make easier to locate
nalluniite-,to be easy to know or perceive; to be readily visible
nallu-,to be ignorant (due to lack of experience, immaturity, etc.); to be stupid; to lack common sense
nalluyagute-,to be unable to comprehend; to lose (knowledge about) something
nalluyug-,to be unsure; to be in doubt
nalluyuke-,to doubt
nalpagh-,to be very excited; to be elated
nalpeghtugh-,to feel one's way; to try to guess one's location
nalpiqugh-,to compare
nalqigangite-,to be careless; to be untidy (especially in housekeeping)
nalqiiwhagh-,to be careless; to do things any old way
nalughqutagh-,to jump up and down; jump or hop around
nalugute-,to dive in (to the water); to jump across; to land with
nalug-,to land from the air
naluumsigh-,to hop about
nanevgagh-,to grow old (of a man)
nangaghte-,to form a big snow-drift; to cover with snow
nangaqaghte-,to go straight on through
nangenqagh-,to take an unplanned side-trip or extension of a trip
nangeteghugh-,to give up hope; to go to a place and continue on; to stay too long
nangghalug-,to feel excited; to be interested
nangghaniite-,to be uninteresting; to be boring
nangghayug-,to feel excited; to be interested
nangghite-,to be right; to be correct
nangghughi-,to disapprove of someone or something; to criticize someone or something; to denigrate someone through comparison with another
nangghuke-,to criticize; to denigrate (him) through comparison; to disapprove of (him)
nangghu-,to disapprove of someone or something; to criticize someone or something; to denigrate someone through comparison with another
nanghiigh-,to try; to test; to experience; to challenge
nanghiiqu-,to try to do something
nangigali-,to start going or coming over to someone's place much more often
nanglii-,to gaze (into the distance); to stare 
nangllaghaghte-,to get a chill (of a person)
nangllaghqe-,to open one's eyes very wide
nangllagh-,to cool off (of a person)
nangqalugpagte-,to be alerted suddenly while doing something
nangrughqe-,to blister
nangrug-,to get rubbed, chafed or blistered; to long for someone; to get worn out
nangughyug-,to get lonely
nangyagh-,to wince; to hesitate; to fear
nangyiigate-,to be brave
nangyiite-,to be brave
nanivegyug-,to feel like one is getting to one's destination fast
nanqigte-,to judge; to test
nanughagh-,to catch polar bear
nanughugtaagh-,to be crouching; to crouch
napaatagh-,to signal with pole and flag
napaghpag-,for one's hopes to rise; to straighten something quickly
napaghrakegte-,to be upright and straight
napaghte-,to begin celebrating
napaghwiigh-,to place a mast (on a ship)
napi-,to go hunting
naqenqaghqe-,to be full (of the moon)
naranghigh-,to come loose (of something  not securely fastened)
naranghite-,to be loose (of something  not securely fastened)
naraqe-,to figure out measurements; to prepare (by measuring)
nasagh-,to put on one's hood
nasaperagh-,to put on a hat or cap 
nasig-,to cry after or for someone who is leaving (of a child who doesn't want to be left)
nasiigh-,to pull the hood back from one's head
nasiqe-,to take home as much as one wants or needs; to take enough
nasiqute-,to set an example; to take or give enough; approximate
naspeqe-,to estimate
naspete-,to estimate
nasqillagute-,to fall or slip and hit the ground with one's head
nasughagh-,to estimate; to predict
nasuqe-,to measure; to judge; to estimate
natekeruugte-,to get upset; to become critical of something
natenkaghte-,to get how much
nateqfagh-,to descend; to go down to lower level
nateqlite-,to reach the bottom
natesug-,to be astonished; to feel uneasy
natetepigte-,to be odd; to be different from others
natete-,to be which way; to be how; to be what kind
natetkaghte-,to get how much
natigh-,to sew sole on boot
natiisigh-,to lay a floor; to underpin; to make a foundation for
navaqaate-,to be out of line (of tatoos)
navghagh-,to borrow
navghiite-,to lend
nayemte-,to stretch out an inflated sea mammal intestine so it will dry straight
nayeqerregagh-,to stay closeby
nayugh-,to stay with; to tend; to watch over; to guard; to babysit
nayug-,to skin an animal (or an organ such as a stomach) starting at the mouth and doing it in such a way that the skin is not split
nayute-,to close in around (of ice)
nazi-,to remove hair from and scrape reindeer skin
nefkagh-,to watch for a seal at its breathing hole
nefkuli-,to prepare meat for drying
nefku-,to hang meat to dry
nefteghqe-,to assemble; to put together
neftegte-,to fasten; to hang up; to put in place
negagh-,to snare
neghaali-,to slow or die down (of person, event, occurrence, etc.)
neghagte-,to drain (overly full lake going down)
neghenghite*-,to not eat
neghe-,to eat
neghigh-,to have happened long ago
neghllugh-,to fall over head first; to topple over
neghneghngwaagh-,to scent; to smell something (about animals)
neghniimsugute-,to snack
neghqe-,to feed (dogs, people, etc.)
neghqugh-,to have rheumatism; to have arthritis; to ache in the bones and/or joints
neghuvaghsagh-,to make soft and smooth
neghuvate-,to be soft
negh-,to eat
neghyaghqangllagh-,to prepare food
neghyugtaghagh-,to dream about something; to always rely on somebody
neghyuke-,to hope concerning (it)
neghyu-,to hope; to expect
negifkaqu-,to appear (of thawed patches)
negighqu-,to cut out the various pieces needed to make something
negig-,to cut out a piece of material or skin; to tear out of someone's hands
negikragh-,to cut out a pattern
negitughqe-,to gasp when food goes down slowly after swallowing
negitughqwe-,to hiccup
negugh-,to go around an obstacle; to avoid
neguqragh-,to force one's way
nekefqaghte-,to jump up; to take off suddenly
nekefte-,to build
nekeggneqigte-,to restore; to put back in the appropriate place
nekegpagte-,to creak; to change for the better
nekegsiilliqe-,to worry; to play noisily
nekegte-,to put in the appropriate place
nekeve-,to stand up
nekevgha-,to be standing
nekga-,to calm down; to stop rushing
nekgute-,to bring something to its place; to put away; to put in the proper place
nekleg-,to die down (of wind); to diminish (of a bad condition)
nekreg-,to hook as with a gaff
nekrewaagh-,to crochet
nekwaagh-,to be settled down
nelegte-,to put in place securely
nelgughte-,to never move once one has stopped
neliite-,to take up residence at (it, a house)
neli-,to build; to establish a home
nellaaghqe-,to drive out of one's home
nelliqe-,to engage in unacceptable behavior
nemegh-,to lash; to tie up; to stitch overcast
nemetwha-,to stay home; to stay in one place; to be on one's own
nengaawiqe-,to work for the parents of the woman one will marry
nengagh-,to go off angrily or sulking; to stalk off
nengekeregiigh-,to not reach something
nengenghigh-,to tire, slow down and lose enthusiasm as from working too hard
nengerqagh-,to stretch skin
nenge-,to stretch; to tighten
nengighqe-,to divide and distribute one's catch
nengigh-,to receive a share of a catch which has been distributed
nenginaaqu-,to be unable to proceed while traveling; be stuck in place
nengitugh-,to have a hard time getting to the desired place or into the desired position or situation; to feel uncomfortable where or how one is
nengki-,to prop up
nenglaghnagh-,to be funny
nenglagh-,to laugh
nenglaghyugsagh-,to make fun of someone
nenglasiigh-,to chuckle
nenglekegte-,to be icy cold (of liquid or solid, not person or weather)
nenglengestagh-,to giggle
nenglisigh-,to cool off food
nengli-,to cool off
nenglliyug-,to be abnormally sensitive to the cold; to be sensitive to cold (especially of teeth)
nengpagte-,to yank on a rope; to suddenly become angry and stay angry
nengqe-,to be tense; to have a cramp; to have sore muscles
nengrugh-,to have rheumatism
nengruuqi-,to be reluctant to go out or go on a trip because the cold
nengsugpagtagh-,to jerk uncontrollably
nengsugpagte-,to strain a muscle; to make an injury worse
nengte-,to stretch (it)
nengughte-,to get married; to become populated
nengugutiiraagh-,to vote
nengug-,to reach across; to tug
nengukagh-,to snatch; to strike with hand or fist
nengulgha-,for waves to break on the beach; for surf to come up and sweep across beach after waves break
nengumaste-,to be the head of a household; to lead the household
nenguugte-,for wind to get stronger
nenguwaagh-,to grope sexually
nenguyugte-,to live somewhere as if in one's own home
nengwaaqe-,to live somewhere as if in one's own home
nengzighhe-,to stretch one's body as upon waking
nenki-,to prop up
nepasanagh-,to be misty or drizzly
nepiigh-,to become silent
nepite-,to be unintelligible; to speak with an impairment
nepititaghte-,to bring a boat (or the like) from the breakers and to secure it
nepneqagh-,to stick (it -- knife, axe, etc.) into or onto something when not in use
neprakegtagh-,to lack self-control
nepsaate-,to get dirty; to get soaking wet
nepsag-,to soak or sop up liquid
neptaarakegte-,to tend to try to dominate a conversation; to tend to speak without thinking through what one will say
nepte-,to dip into water or other liquid
neqagh-,to recall; to remember
neqamike-,to remember (without having forgotten); to not forget
